사업명,기준년월,시도,시군구,수급권자수,수급가구수
기초생활보장(맞춤형급여),2025-12,충청북도,증평군,2490,1884
기초생활보장(맞춤형급여),2025-12,충청북도,진천군,3624,2714
기초생활보장(맞춤형급여),2025-12,충청북도,괴산군,2430,1870
기초생활보장(맞춤형급여),2025-12,충청북도,음성군,6282,5027
기초생활보장(맞춤형급여),2025-12,충청북도,단양군,1716,1388
기초생활보장(맞춤형급여),2025-12,충청남도,천안시,622,622
기초생활보장(맞춤형급여),2025-12,충청남도,천안시 동남구,11229,8393
기초생활보장(맞춤형급여),2025-12,충청남도,천안시 서북구,12367,8950
기초생활보장(맞춤형급여),2025-12,충청남도,공주시,6743,5221
기초생활보장(맞춤형급여),2025-12,충청남도,보령시,6742,5231
기초생활보장(맞춤형급여),2025-12,충청남도,아산시,15711,11524
기초생활보장(맞춤형급여),2025-12,충청남도,서산시,6805,5154
기초생활보장(맞춤형급여),2025-12,충청남도,논산시,9675,7410
기초생활보장(맞춤형급여),2025-12,충청남도,계룡시,1512,1073
기초생활보장(맞춤형급여),2025-12,충청남도,당진시,6791,5105
기초생활보장(맞춤형급여),2025-12,충청남도,금산군,3525,2715
기초생활보장(맞춤형급여),2025-12,충청남도,부여군,4537,3615
기초생활보장(맞춤형급여),2025-12,충청남도,서천군,3777,3027
기초생활보장(맞춤형급여),2025-12,충청남도,청양군,1553,1209
기초생활보장(맞춤형급여),2025-12,충청남도,홍성군,5530,4207
기초생활보장(맞춤형급여),2025-12,충청남도,예산군,4404,3474
기초생활보장(맞춤형급여),2025-12,충청남도,태안군,3415,2677
기초생활보장(맞춤형급여),2025-12,전라남도,목포시,21721,15537
기초생활보장(맞춤형급여),2025-12,전라남도,여수시,14551,11159
기초생활보장(맞춤형급여),2025-12,전라남도,순천시,13064,9827
기초생활보장(맞춤형급여),2025-12,전라남도,나주시,7133,5297
기초생활보장(맞춤형급여),2025-12,전라남도,광양시,6641,4611
기초생활보장(맞춤형급여),2025-12,전라남도,담양군,2880,2267
기초생활보장(맞춤형급여),2025-12,전라남도,곡성군,1987,1621
기초생활보장(맞춤형급여),2025-12,전라남도,구례군,1838,1480
기초생활보장(맞춤형급여),2025-12,전라남도,고흥군,5491,4492
기초생활보장(맞춤형급여),2025-12,전라남도,보성군,2920,2322
기초생활보장(맞춤형급여),2025-12,전라남도,화순군,3861,2976
기초생활보장(맞춤형급여),2025-12,전라남도,장흥군,2951,2249
기초생활보장(맞춤형급여),2025-12,전라남도,강진군,2714,2061
